"Commodity-wise, Market-wise Daily Report for State (Market Category wise) on: 05-Jun-2026 for State : Madhya Pradesh, Market Category : All Categories"

Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price
Commodity Group Name : Cereals
Commodity Name : Bajra(Pearl Millet/Cumbu)
Kailaras APMC,15.104,Metric Tonnes,Millet,1950.0,1980.0,1950.0,Rs./Quintal
Kukshi APMC,2.2550000000000003,Metric Tonnes,Millet,1750.0,1750.0,1750.0,Rs./Quintal
Morena APMC,3.229,Metric Tonnes,Millet,2016.0,2016.0,2016.0,Rs./Quintal
Sabalgarh APMC,0.5950000000000001,Metric Tonnes,Millet,1934.0,1934.0,1934.0,Rs./Quintal
Commodity Name : Barley(Jau)
Bina APMC,0.29500000000000004,Metric Tonnes,Barley,1803.0,1803.0,1803.0,Rs./Quintal
Katni APMC,11.879000000000001,Metric Tonnes,Barley,2190.0,2263.0,2247.0,Rs./Quintal
Khaniadhana APMC,25.0,Metric Tonnes,Barley,2175.0,2205.0,2205.0,Rs./Quintal
LavKush Nagar(Laundi) APMC,31.3,Metric Tonnes,Barley,2150.0,2165.0,2150.0,Rs./Quintal
Mandsaur APMC,3.769,Metric Tonnes,Barley,2271.0,2390.0,2390.0,Rs./Quintal
Nagod APMC,2.5,Metric Tonnes,Barley,2215.0,2215.0,2215.0,Rs./Quintal
Neemuch APMC,9.674,Metric Tonnes,Barley,2174.0,2581.0,2321.0,Rs./Quintal
Rewa APMC,0.165,Metric Tonnes,Barley,2360.0,2360.0,2360.0,Rs./Quintal
Satna APMC,0.6040000000000001,Metric Tonnes,Barley,2200.0,2210.0,2200.0,Rs./Quintal
Commodity Name : Kodo Millet(Varagu)
Baikunthpur APMC,30.0,Metric Tonnes,Kondo,2500.0,2550.0,2550.0,Rs./Quintal
Beohari APMC,11.0,Metric Tonnes,Kondo,2450.0,2450.0,2450.0,Rs./Quintal
Dindori APMC,6.0,Metric Tonnes,Kondo,2500.0,2500.0,2500.0,Rs./Quintal
Gorakhpur APMC,15.0,Metric Tonnes,Kondo,2200.0,2300.0,2300.0,Rs./Quintal
,1.0,Metric Tonnes,Kondo,2400.0,2400.0,2400.0,Rs./Quintal
Mehar APMC,34.32,Metric Tonnes,Kondo,2300.0,2310.0,2310.0,Rs./Quintal
Mohgaon APMC,30.400000000000002,Metric Tonnes,Kondo,2501.0,2505.0,2505.0,Rs./Quintal
Shahpura APMC,19.046000000000003,Metric Tonnes,Kondo,2400.0,2500.0,2500.0,Rs./Quintal
Umariya APMC,12.285,Metric Tonnes,Kondo,2600.0,2600.0,2600.0,Rs./Quintal
Commodity Name : Kutki
Dindori APMC,3.4000000000000004,Metric Tonnes,Kutki,5800.0,5800.0,5800.0,Rs./Quintal
Gorakhpur APMC,35.0,Metric Tonnes,Kutki,4000.0,5200.0,5200.0,Rs./Quintal
Shahpura APMC,7.040000000000001,Metric Tonnes,Kutki,5401.0,5450.0,5450.0,Rs./Quintal
Umariya APMC,6.719,Metric Tonnes,Kutki,5900.0,6000.0,6000.0,Rs./Quintal
Commodity Name : Maize
Alirajpur APMC,71.29,Metric Tonnes,Local,1850.0,1950.0,1950.0,Rs./Quintal
Anjad APMC,90.71300000000001,Metric Tonnes,Yellow,1200.0,2005.0,1800.0,Rs./Quintal
,2.5850000000000004,Metric Tonnes,Local,1950.0,1950.0,1950.0,Rs./Quintal
,187.45100000000002,Metric Tonnes,Local,1700.0,2030.0,1925.0,Rs./Quintal
Aron APMC,15.100000000000001,Metric Tonnes,Local,1800.0,1800.0,1800.0,Rs./Quintal
Ashoknagar APMC,5.393000000000001,Metric Tonnes,Local,1840.0,1885.0,1885.0,Rs./Quintal
Ashta APMC,2.0300000000000002,Metric Tonnes,Local,1650.0,2001.0,2001.0,Rs./Quintal
Badarwas APMC,0.27999999999999997,Metric Tonnes,Local,1500.0,1500.0,1500.0,Rs./Quintal
Badwaha APMC,15.440000000000001,Metric Tonnes,Local,1960.0,2060.0,2045.0,Rs./Quintal
Badwani APMC,14.600000000000001,Metric Tonnes,Yellow,1551.0,1565.0,1565.0,Rs./Quintal
Banapura APMC,4.68,Metric Tonnes,Yellow,1500.0,1960.0,1960.0,Rs./Quintal
Betul APMC,421.42,Metric Tonnes,Deshi Red,1620.0,2071.0,2000.0,Rs./Quintal
,52.105,Metric Tonnes,Local,1750.0,1750.0,1750.0,Rs./Quintal
,2.5,Metric Tonnes,Local,1850.0,1850.0,1850.0,Rs./Quintal
Bhensdehi APMC,5.885000000000001,Metric Tonnes,Local,1900.0,1900.0,1900.0,Rs./Quintal
Bhikangaon APMC,47.844,Metric Tonnes,Local,1650.0,2067.0,2004.0,Rs./Quintal
Burhanpur APMC,15.871000000000002,Metric Tonnes,Local,1150.0,2100.0,2100.0,Rs./Quintal
Chaurai APMC,24.200000000000003,Metric Tonnes,Yellow,1710.0,1965.0,1965.0,Rs./Quintal
Chhindwara APMC,345.523,Metric Tonnes,Local,1921.0,2100.0,2051.0,Rs./Quintal
,116.2,Metric Tonnes,Yellow,1900.0,1950.0,1950.0,Rs./Quintal
Dewas APMC,0.326,Metric Tonnes,Local,2171.0,2171.0,2171.0,Rs./Quintal
Dhamnod APMC,73.685,Metric Tonnes,Local,1900.0,2063.0,2063.0,Rs./Quintal
,7.01,Metric Tonnes,Yellow,2035.0,2035.0,2035.0,Rs./Quintal
Dhar APMC,1.7550000000000001,Metric Tonnes,Local,1300.0,1300.0,1300.0,Rs./Quintal
Gandhwani APMC,1.34,Metric Tonnes,Local,2035.0,2035.0,2035.0,Rs./Quintal
Ganjbasoda APMC,6.273,Metric Tonnes,Local,1535.0,1755.0,1755.0,Rs./Quintal
Ghansour APMC,2.035,Metric Tonnes,Local,1600.0,1600.0,1600.0,Rs./Quintal
Guna APMC,33.694,Metric Tonnes,Local,1500.0,1835.0,1820.0,Rs./Quintal
Haatpipliya APMC,0.28300000000000003,Metric Tonnes,Local,1200.0,1871.0,1871.0,Rs./Quintal
Harda APMC,746.142,Metric Tonnes,Yellow,1750.0,1983.0,1900.0,Rs./Quintal
Harsood APMC,4.595000000000001,Metric Tonnes,Yellow,1601.0,1891.0,1801.0,Rs./Quintal
Ichhawar APMC,27.704000000000004,Metric Tonnes,Local,1925.0,1989.0,1989.0,Rs./Quintal
Indore APMC,6.227,Metric Tonnes,Local,1801.0,1958.0,1958.0,Rs./Quintal
Itarsi APMC,29.210000000000004,Metric Tonnes,Local,1641.0,2027.0,2027.0,Rs./Quintal
Jabalpur APMC,8.314,Metric Tonnes,Local,1950.0,1995.0,1995.0,Rs./Quintal
Jobat APMC,40.92,Metric Tonnes,Local,1700.0,1950.0,1950.0,Rs./Quintal
Kannod APMC,4.3100000000000005,Metric Tonnes,Local,1944.0,1944.0,1944.0,Rs./Quintal
Karhi APMC,10.178,Metric Tonnes,Local,1950.0,1975.0,1975.0,Rs./Quintal
Kasrawad APMC,19.1,Metric Tonnes,Local,2020.0,2020.0,2020.0,Rs./Quintal
,7.43,Metric Tonnes,Yellow,1850.0,1850.0,1850.0,Rs./Quintal
Khandwa APMC,51.209,Metric Tonnes,Local,1701.0,1970.0,1910.0,Rs./Quintal
Khargone APMC,5.0600000000000005,Metric Tonnes,Local,1851.0,1851.0,1851.0,Rs./Quintal
,71.21900000000001,Metric Tonnes,Local,1700.0,2086.0,2040.0,Rs./Quintal
Khategaon APMC,59.076,Metric Tonnes,Local,891.0,2000.0,1800.0,Rs./Quintal
Khetia APMC,4.16,Metric Tonnes,Yellow,1990.0,2000.0,2000.0,Rs./Quintal
Khirakiya APMC,4.992000000000001,Metric Tonnes,Local,1927.0,1927.0,1927.0,Rs./Quintal
,42.611000000000004,Metric Tonnes,Local,1786.0,1980.0,1941.0,Rs./Quintal
Kolaras APMC,0.405,Metric Tonnes,Local,1455.0,1455.0,1455.0,Rs./Quintal
Kukshi APMC,27.295,Metric Tonnes,Local,1445.0,2120.0,2120.0,Rs./Quintal
Lashkar APMC,65.84,Metric Tonnes,Local,2110.0,2110.0,2110.0,Rs./Quintal
Maksudangarh APMC,1.82,Metric Tonnes,Local,1901.0,1901.0,1901.0,Rs./Quintal
Manasa APMC,6.6000000000000005,Metric Tonnes,Local,1891.0,1960.0,1925.0,Rs./Quintal
Manawar APMC,59.958000000000006,Metric Tonnes,Local,2000.0,2200.0,2200.0,Rs./Quintal
Mandsaur APMC,0.6950000000000001,Metric Tonnes,Local,1896.0,1990.0,1990.0,Rs./Quintal
,4.125,Metric Tonnes,Local,1941.0,2030.0,1981.0,Rs./Quintal
Mhow APMC,2.89,Metric Tonnes,Local,1886.0,1886.0,1886.0,Rs./Quintal
Multai APMC,34.800000000000004,Metric Tonnes,Local,1580.0,1605.0,1605.0,Rs./Quintal
Nainpur APMC,20.85,Metric Tonnes,Yellow,1850.0,1860.0,1860.0,Rs./Quintal
Narsinghpur APMC,6.5,Metric Tonnes,Yellow,1650.0,1650.0,1650.0,Rs./Quintal
Nasrullaganj APMC,3.946,Metric Tonnes,Local,1977.0,1977.0,1977.0,Rs./Quintal
,14.881,Metric Tonnes,Local,1900.0,1989.0,1930.0,Rs./Quintal
Neemuch APMC,1.059,Metric Tonnes,Local,1681.0,1731.0,1731.0,Rs./Quintal
Pandhurna APMC,20.083000000000002,Metric Tonnes,Local,1800.0,1850.0,1850.0,Rs./Quintal
Petlawad APMC,52.49400000000001,Metric Tonnes,Local,1900.0,2000.0,2000.0,Rs./Quintal
Rajgarh APMC,0.28900000000000003,Metric Tonnes,Local,1800.0,1900.0,1900.0,Rs./Quintal
Ratlam APMC,0.13799999999999998,Metric Tonnes,Local,1910.0,1910.0,1910.0,Rs./Quintal
Sagar APMC,0.11000000000000001,Metric Tonnes,Local,1560.0,1560.0,1560.0,Rs./Quintal
Sailana APMC,31.615,Metric Tonnes,Local,1620.0,1988.0,1640.0,Rs./Quintal
,5.800000000000001,Metric Tonnes,Maize/Corn-Organic,1620.0,1620.0,1620.0,Rs./Quintal
Sanawad APMC,0.8810000000000001,Metric Tonnes,Local,1967.0,1972.0,1972.0,Rs./Quintal
Segaon APMC,43.025000000000006,Metric Tonnes,Local,1605.0,2019.0,2019.0,Rs./Quintal
Sehore APMC,3.3979999999999997,Metric Tonnes,Local,2050.0,2100.0,2050.0,Rs./Quintal
,0.042,Metric Tonnes,Deshi Red,1900.0,1900.0,1900.0,Rs./Quintal
Sendhwa APMC,77.24000000000001,Metric Tonnes,Local,1780.0,2025.0,1800.0,Rs./Quintal
Seoni APMC,32.845,Metric Tonnes,Local,1835.0,1999.0,1999.0,Rs./Quintal
,68.745,Metric Tonnes,Local,1785.0,2002.0,1800.0,Rs./Quintal
Shamgarh APMC,33.073,Metric Tonnes,Local,1750.0,1825.0,1800.0,Rs./Quintal
Sironj APMC,4.88,Metric Tonnes,Local,1855.0,2026.0,2026.0,Rs./Quintal
Sitmau APMC,0.9730000000000001,Metric Tonnes,Local,1791.0,1905.0,1905.0,Rs./Quintal
,0.496,Metric Tonnes,Deshi Red,1825.0,1825.0,1825.0,Rs./Quintal
Sonkatch APMC,0.164,Metric Tonnes,Local,1900.0,1900.0,1900.0,Rs./Quintal
Thandla APMC,10.600000000000001,Metric Tonnes,Deshi White,1700.0,1700.0,1700.0,Rs./Quintal
Timarni APMC,156.448,Metric Tonnes,Local,1850.0,1989.0,1966.0,Rs./Quintal
Commodity Name : Paddy(Common)
Anuppur APMC,14.200000000000001,Metric Tonnes,Dhan,2000.0,2000.0,2000.0,Rs./Quintal
Balaghat APMC,10.5,Metric Tonnes,Common,1718.0,1718.0,1718.0,Rs./Quintal
,47.1,Metric Tonnes,Dhan,1650.0,1705.0,1705.0,Rs./Quintal
,116.0,Metric Tonnes,Paddy,1650.0,1710.0,1700.0,Rs./Quintal
,20.0,Metric Tonnes,Dhan,1630.0,1650.0,1650.0,Rs./Quintal
,44.900000000000006,Metric Tonnes,Common,1620.0,1650.0,1645.0,Rs./Quintal
,110.0,Metric Tonnes,Paddy,1650.0,1750.0,1700.0,Rs./Quintal
Bareli APMC,38.15,Metric Tonnes,Puspa (MR 301),4350.0,4350.0,4350.0,Rs./Quintal
Barghat APMC,31.8,Metric Tonnes,Common,2250.0,2370.0,2250.0,Rs./Quintal
,8.200000000000001,Metric Tonnes,Dhan,2370.0,2370.0,2370.0,Rs./Quintal
